src/p001.hs,1401506097.622270500,1401506100.105374500,1401506100.109105500,1401506100.114049500
src/p002.hs,1401506100.119843600,1401506102.154433700,1401506102.157896300,1401506102.163016100
src/p003.hs,1401506102.168701700,1401506105.122538000,1401506105.126007100,1401506105.131361300
src/p004.hs,1401506105.137476800,1401506107.137425000,1401506107.140710500,1401506107.209187200
src/p005.hs,1401506107.215078200,1401506109.112646100,1401506109.115802500,1401506109.120516800
src/p006.hs,1401506109.126684600,1401506111.054288800,1401506111.059117000,1401506111.065679300
src/p007.hs,1401506111.073910500,1401506113.904708100,1401506113.908551700,1401506113.918702900
src/p008.hs,1401506113.925055000,1401506116.010063800,1401506116.013222100,1401506116.019002600
src/p009.hs,1401506116.024419200,1401506117.979551200,1401506117.982805300,1401506117.987497900
src/p010.hs,1401506117.993031400,1401506120.808054500,1401506120.811655400,1401506121.007190300
src/p011.hs,1401506121.013138600,1401506123.167084300,1401506123.170804600,1401506123.179939200
src/p012.hs,1401506123.185671200,1401506126.117385800,1401506126.121817600,1401506142.772354100
src/p013.hs,1401506142.778257000,1401506144.995089900,1401506144.998968900,1401506145.004816600
src/p014.hs,1401506145.012093100,1401506147.048746400,1401506147.051978300,1401506155.253627300
src/p015.hs,1401506155.259791900,1401506157.193659300,1401506157.197107200,1401506157.202165000
src/p016.hs,1401506157.208417700,1401506159.246841300,1401506159.250162000,1401506159.254942100
src/p017.hs,1401506159.260452300,1401506161.343423000,1401506161.346690300,1401506161.352432600
src/p018.hs,1401506161.358066900,1401506163.382389300,1401506163.386205000,1401506163.390908600
src/p019.hs,1401506163.397367100,1401506165.381092100,1401506165.384754000,1401506165.389968400
src/p020.hs,1401506165.395319200,1401506167.396524200,1401506167.400594100,1401506167.407344700
src/p021.hs,1401506167.414140200,1401506170.252578800,1401506170.255731900,1401506174.633569100
src/p022.hs,1401506174.639444300,1401506176.723386600,1401506176.726801500,1401506177.044433800
src/p023.hs,1401506177.050179600,1401506179.954386300,1401506179.957855700,1401506185.167667700
src/p024.hs,1401506185.174800200,1401506187.115132800,1401506187.118504200,1401506197.001552100
src/p025.hs,1401506197.007476100,1401506198.990949500,1401506198.994373800,1401506199.000765100
src/p026.hs,1401506199.006850500,1401506201.833713600,1401506201.837113700,1401506202.050940100
src/p027.hs,1401506202.056685700,1401506204.063557200,1401506204.066696900,1401506204.071473000
src/p028.hs,1401506204.077854200,1401506206.065765000,1401506206.069257800,1401506206.111034700
src/p029.hs,1401506206.116551800,1401506207.976915800,1401506207.980218100,1401506208.001996800
src/p030.hs,1401506208.007803500,1401506210.048971400,1401506210.052350500,1401506210.280904400
src/p031.hs,1401506210.286844500,1401506212.388259900,1401506212.391856900,1401506212.566557700
src/p032.hs,1401506212.572290300,1401506214.745350500,1401506214.749176700,1401506214.780185300
src/p033.hs,1401506214.786144300,1401506216.782220400,1401506216.785352300,1401506216.790429400
src/p034.hs,1401506216.796242000,1401506218.743966500,1401506218.747859500,1401506218.840835700
src/p035.hs,1401506218.847325300,1401506221.773386700,1401506221.777281400,1401506223.363502500
src/p036.hs,1401506223.369397100,1401506225.829402900,1401506225.833168000,1401506227.052598200
src/p037.hs,1401506227.058449900,1401506229.175968800,1401506229.181974400,1401506229.208083600
src/p038.hs,1401506229.217052600,1401506231.308413200,1401506231.311671400,1401506231.333820000
src/p039.hs,1401506231.339791400,1401506233.352878600,1401506233.356821600,1401506233.362127500
src/p040.hs,1401506233.368493200,1401506238.645446800,1401506238.648896800,1401506238.695047300
src/p041.hs,1401506238.701101700,1401506241.761465400,1401506241.764984000,1401506244.032016300
src/p046.hs,1401506244.037811200,1401506246.303834500,1401506246.307009200,1401506246.311830700
src/p096.hs,1401506246.317431400,1401506248.196202700,1401506248.199590500,1401506248.204387100
